"year_end","team_id","fran_id","tot_sal","avg_sal","max_sal","min_sal","std_sal"
2001,"CLE","Cavaliers",49780549,2928267.58823529,10130000,316969,2382777.37985137
2001,"DAL","Mavericks",51445574,3026210.23529412,8400000,316969,2754839.08538917
2001,"DEN","Nuggets",52189220,3261826.25,10800000,510000,2912059.42941847
2001,"DET","Pistons",40475338,2380902.23529412,5310000,316969,1325598.72169704
2001,"GSW","Warriors",42363018,2491942.23529412,5610000,20000,1822353.85003155
2001,"HOU","Rockets",49283309,3285553.93333333,16700000,316969,3963624.31456299
2001,"IND","Pacers",55086140,3240361.17647059,10670000,423500,3171070.3892335
2001,"LAC","Clippers",29606189,1741540.52941176,3697440,316969,1044943.94955053
2001,"LAL","Lakers",58968213,3468718.41176471,19285715,270000,4844540.42514086
2001,"MEM","Grizzlies",48899840,3259989.33333333,10130000,498500,3097451.56035332
2001,"MIA","Heat",73472329,4081796.05555556,16880000,16000,4737307.36595404
2001,"MIL","Bucks",57819318,3401136.35294118,10130000,316969,3215470.14744982
2001,"MIN","Timberwolves",47488500,3165900,19610000,498500,4941658.2672043
2001,"OKC","Thunder",51538658,3681332.71428571,1.4e+07,316969,4787785.05097599
2001,"ORL","Magic",37459860,2675704.28571429,9660000,94000,3180376.22629949
2001,"PHO","Suns",53906347,3593756.46666667,10130000,316969,3484009.80986047
2001,"POR","Trailblazers",87395140,5826342.66666667,13750000,611000,5056423.76362056
2001,"SAC","Kings",46266289,3304734.92857143,1.2e+07,316969,3413416.39459175
2001,"TOR","Raptors",38313749,2394609.3125,5760000,316969,1686137.36949225
2001,"UTA","Jazz",53893860,3592924,15750000,498500,4410144.04341497
2001,"WAS","Wizards",59085969,3475645.23529412,16875000,316969,4556172.38910699
2002,"ATL","Hawks",51525207,3220325.4375,11250000,26190,3630189.45721377
2002,"BKN","Nets",75193712,4177428.44444444,15125000,122218,4217042.05150565
2002,"BOS","Celtics",47515677,3167711.8,11250000,540850,3053721.32533264
2002,"CHA","Hornets",49999445,2777746.94444444,7975000,465850,2330868.40660876
2002,"CHI","Bulls",42592857,2505462.17647059,6750000,332817,2122567.96099925
2002,"CLE","Cavaliers",45649974,3043331.6,11250000,332817,2890242.09428612
2002,"DAL","Mavericks",57960080,2898004,18750000,79535,4500136.97648972
2002,"DEN","Nuggets",54460475,3203557.35294118,11700000,112797,3388411.93711702
2002,"DET","Pistons",42417677,2827845.13333333,7656250,332817,2117913.2167627
2002,"GSW","Warriors",47681152,3405796.57142857,6235000,332817,1907802.43428561
2002,"HOU","Rockets",49168169,3073010.5625,8800000,332817,2547448.90240698
2002,"IND","Pacers",53398621,3559908.06666667,12045075,332817,3891837.40176109
2002,"LAC","Clippers",33849932,2115620.75,4662472,540850,1328848.94604052
2002,"LAL","Lakers",54262017,3617467.8,21428572,28405,5721866.38526218
2002,"MEM","Grizzlies",50920631,3394708.73333333,11555554,332817,2894180.79698782
2002,"MIA","Heat",53351186,3334449.125,18754800,60881,5196929.65654104
2002,"MIL","Bucks",56224266,3748284.4,11250000,465850,3577074.35225552
2002,"MIN","Timberwolves",55093782,3672918.8,22400000,332817,5653695.91316803
2002,"NYK","Knicks",85993039,5058414.05882353,12750000,465850,3808546.51859933
2002,"OKC","Thunder",45556733,3037115.53333333,12926493,332817,4013407.300291
2002,"ORL","Magic",45984001,3065600.06666667,10865250,590850,3341204.79521963
2002,"PHI","Sixers",58073366,3416080.35294118,14315790,19787,4434119.58075137
2002,"PHO","Suns",56596369,3537273.0625,11250000,89292,3941569.19942927
2002,"POR","Trailblazers",84292850,5619523.33333333,18083564,332817,5972236.50292656
2002,"SAC","Kings",54921012,4224693.23076923,12750000,465850,3662161.73376334
2002,"SAS","Spurs",45844814,3056320.93333333,10865250,465850,3612791.04104908
2002,"TOR","Raptors",52657161,3291072.5625,1.1e+07,332817,2683859.05242753
2002,"UTA","Jazz",52642362,4049412.46153846,17500000,332817,4780048.61882094
2002,"WAS","Wizards",54776087,2882951.94736842,1e+07,332817,2183078.70052271
2003,"ATL","Hawks",55711549,3095086.05555556,12375000,29832,3921492.24651347
2003,"BKN","Nets",60412919,3775807.4375,16105264,349458,4247125.46277059
2003,"BOS","Celtics",52548195,4042168.84615385,12375000,46642,4580017.89034975
2003,"CHI","Bulls",44531095,2619476.17647059,12072500,349458,2882377.07560642
2003,"CLE","Cavaliers",49610448,3307363.2,12375000,349458,3182845.06002241
2003,"DAL","Mavericks",72940316,4052239.77777778,11953125,60361,3872231.38660588
