"year_end","team_id","fran_id","elo_n"
1991,"NYK","Knicks",1468.6697
1991,"LAC","Clippers",1408.2386
1991,"PHI","Sixers",1545.9844
1991,"POR","Trailblazers",1676.04
1991,"GSW","Warriors",1487.8319
1991,"MIN","Timberwolves",1350.8844
1991,"SAC","Kings",1365.5752
1991,"OKC","Thunder",1426.4987
1991,"ORL","Magic",1271.9832
1991,"PHI","Sixers",1541.4507
1991,"BOS","Celtics",1639.9434
1991,"LAL","Lakers",1609.265
1991,"CLE","Cavaliers",1467.3296
1991,"DET","Pistons",1625.3267
1991,"CHI","Bulls",1642.2095
1991,"WAS","Wizards",1391.4954
1991,"IND","Pacers",1440.5874
1991,"NYK","Knicks",1476.1931
1991,"MIA","Heat",1280.4342
1991,"BKN","Nets",1317.6335
1991,"LAC","Clippers",1395.8507
1991,"MIN","Timberwolves",1348.7031
1991,"PHO","Suns",1632.5908
1991,"DEN","Nuggets",1383.1576
1991,"SAS","Spurs",1661.0021
1991,"UTA","Jazz",1579.7615
1991,"ATL","Hawks",1522.6642
1991,"BOS","Celtics",1647.0255
1991,"CHA","Hornets",1348.4811
1991,"POR","Trailblazers",1664.7386
1991,"GSW","Warriors",1499.1333
1991,"HOU","Rockets",1533.2937
1991,"ORL","Magic",1271.1465
1991,"OKC","Thunder",1454.5959
1991,"SAC","Kings",1337.4779
1991,"LAL","Lakers",1602.9449
1991,"CHI","Bulls",1648.5295
1991,"DAL","Mavericks",1470.9187
1991,"MIL","Bucks",1541.887
1991,"ATL","Hawks",1514.6061
1991,"DET","Pistons",1633.3848
1991,"CHA","Hornets",1340.6929
1991,"IND","Pacers",1448.3756
1991,"POR","Trailblazers",1669.7567
1991,"LAC","Clippers",1390.8326
1991,"MIA","Heat",1271.0785
1991,"PHI","Sixers",1550.8064
1991,"BKN","Nets",1328.432
1991,"CLE","Cavaliers",1456.5311
1991,"SAS","Spurs",1669.0737
1991,"PHO","Suns",1624.5192
1991,"WAS","Wizards",1396.0587
1991,"NYK","Knicks",1471.6298
1991,"CHI","Bulls",1651.0544
1991,"IND","Pacers",1445.8507
1991,"WAS","Wizards",1422.9628
1991,"CLE","Cavaliers",1429.6271
1991,"DAL","Mavericks",1481.095
1991,"DEN","Nuggets",1372.9813
1991,"MIN","Timberwolves",1344.7977
1991,"GSW","Warriors",1503.0387
1991,"HOU","Rockets",1549.149
1991,"PHO","Suns",1608.6638
1991,"NYK","Knicks",1475.688
1991,"BKN","Nets",1324.3738
1991,"UTA","Jazz",1583.3611
1991,"ORL","Magic",1267.5469
1991,"PHI","Sixers",1558.6879
1991,"DET","Pistons",1625.5033
1991,"SAS","Spurs",1642.0255
1991,"MIL","Bucks",1568.9352
1991,"SAC","Kings",1329.5842
1991,"OKC","Thunder",1462.4896
1991,"BOS","Celtics",1654.3159
1991,"ATL","Hawks",1507.3157
1991,"LAC","Clippers",1396.0404
1991,"SAC","Kings",1324.3765
1991,"MIN","Timberwolves",1341.5299
1991,"LAL","Lakers",1606.2128
1991,"MIA","Heat",1285.4679
1991,"UTA","Jazz",1568.9717
1991,"POR","Trailblazers",1672.8998
1991,"DEN","Nuggets",1369.8383
1991,"CHI","Bulls",1657.9656
1991,"DET","Pistons",1618.5922
1991,"IND","Pacers",1442.0449
1991,"BOS","Celtics",1658.1217
1991,"CLE","Cavaliers",1423.5464
1991,"OKC","Thunder",1468.5703
1991,"CHA","Hornets",1339.2709
1991,"DET","Pistons",1620.0142
1991,"LAL","Lakers",1612.413
1991,"LAC","Clippers",1389.8402
1991,"MIL","Bucks",1573.0629
1991,"GSW","Warriors",1498.911
1991,"ATL","Hawks",1510.7853
1991,"BKN","Nets",1320.9042
1991,"NYK","Knicks",1466.2012
1991,"POR","Trailblazers",1682.3866
1991,"HOU","Rockets",1535.7614
1991,"ORL","Magic",1280.9346
1991,"DAL","Mavericks",1473.811
1991,"PHO","Suns",1615.9478
1991,"SAC","Kings",1307.3878
1991,"DEN","Nuggets",1386.8269
1991,"MIA","Heat",1284.199
1991,"SAS","Spurs",1643.2944
1991,"WAS","Wizards",1419.4358
1991,"PHI","Sixers",1562.2148
1991,"POR","Trailblazers",1685.6119
1991,"CHA","Hornets",1336.0455
1991,"CHI","Bulls",1662.0637
1991,"GSW","Warriors",1494.8129
1991,"MIA","Heat",1303.0863
1991,"DEN","Nuggets",1367.9396
1991,"DAL","Mavericks",1469.957
1991,"UTA","Jazz",1572.8257
1991,"WAS","Wizards",1411.0336
1991,"OKC","Thunder",1476.9725
1991,"ATL","Hawks",1528.0707
1991,"BOS","Celtics",1640.8363
1991,"MIN","Timberwolves",1336.1622
1991,"DET","Pistons",1625.3818
1991,"BKN","Nets",1317.8907
1991,"HOU","Rockets",1538.7748
1991,"PHO","Suns",1624.1729
1991,"PHI","Sixers",1553.9897
1991,"SAC","Kings",1305.8199
1991,"SAS","Spurs",1644.8623
1991,"ATL","Hawks",1531.6953
1991,"GSW","Warriors",1491.1882
1991,"ORL","Magic",1275.9033
1991,"CHA","Hornets",1341.0768
