"year_end","team_id","fran_id","elo_n","MaxElo"
2009,"MIN","Timberwolves",1437.7222,1437.7222
2009,"NOP","Pelicans",1649.8036,1649.8036
2009,"NYK","Knicks",1450.6213,1450.6213
2009,"OKC","Thunder",1378.1254,1378.1254
2009,"ORL","Magic",1721.8114,1721.8114
2009,"PHI","Sixers",1555.1096,1555.1096
2009,"PHO","Suns",1628.8707,1628.8707
2009,"POR","Trailblazers",1664.187,1664.187
2009,"SAC","Kings",1469.5621,1469.5621
2009,"SAS","Spurs",1666.9117,1666.9117
2009,"TOR","Raptors",1512.2882,1512.2882
2009,"UTA","Jazz",1648.2374,1648.2374
2009,"VAN","Grizzlies",1393.6533,1393.6533
2009,"WAS","Wizards",1477.4908,1477.4908
2010,"ATL","Hawks",1635.1868,1635.1868
2010,"BKN","Nets",1449.085,1449.085
2010,"BOS","Celtics",1696.8286,1696.8286
2010,"CHA","Hornets",1565.4674,1565.4674
2010,"CHI","Bulls",1535.2805,1535.2805
2010,"CLE","Cavaliers",1762.7637,1762.7637
2010,"DAL","Mavericks",1646.8107,1646.8107
2010,"DEN","Nuggets",1660.5632,1660.5632
2010,"DET","Pistons",1493.4908,1493.4908
2010,"GSW","Warriors",1442.5621,1442.5621
