"player","salary","year_end","team_id","fran_id"
"Andre Miller",1499187,2016,"MIN","Timberwolves"
"Andre Miller",396844,2016,"SAS","Spurs"
"Andre Owens",398762,2006,"UTA","Jazz"
"Andre Owens",676800,2007,"GSW","Warriors"
"Andre Owens",687456,2008,"IND","Pacers"
"Andre Roberson",1110840,2014,"OKC","Thunder"
"Andre Roberson",1160880,2015,"OKC","Thunder"
"Andre Roberson",1210800,2016,"OKC","Thunder"
"Andre Roberson",2183072,2017,"OKC","Thunder"
"Andre Roberson",9259259,2018,"OKC","Thunder"
"Andre Spencer",250000,1994,"GSW","Warriors"
"Andre Turner",110000,1991,"PHI","Sixers"
"Andre Turner",130000,1992,"WAS","Wizards"
"Andre Turner",140000,1993,"WAS","Wizards"
"Andrea Bargnani",4501200,2007,"TOR","Raptors"
"Andrea Bargnani",4838880,2008,"TOR","Raptors"
"Andrea Bargnani",5176440,2009,"TOR","Raptors"
"Andrea Bargnani",6527491,2010,"TOR","Raptors"
"Andrea Bargnani",8500000,2011,"TOR","Raptors"
"Andrea Bargnani",9250000,2012,"TOR","Raptors"
"Andrea Bargnani",1e+07,2013,"TOR","Raptors"
"Andrea Bargnani",11862500,2014,"NYK","Knicks"
"Andrea Bargnani",11500000,2015,"NYK","Knicks"
"Andrea Bargnani",1039298,2016,"BKN","Nets"
"Andrea Bargnani",323599,2017,"BKN","Nets"
"Andreas Glyniadakis",161061,2007,"OKC","Thunder"
"Andrei Kirilenko",831120,2002,"UTA","Jazz"
"Andrei Kirilenko",893400,2003,"UTA","Jazz"
"Andrei Kirilenko",955800,2004,"UTA","Jazz"
"Andrei Kirilenko",1671694,2005,"UTA","Jazz"
"Andrei Kirilenko",10983000,2006,"UTA","Jazz"
"Andrei Kirilenko",13735000,2008,"UTA","Jazz"
"Andrei Kirilenko",15106000,2009,"UTA","Jazz"
"Andrei Kirilenko",16452000,2010,"UTA","Jazz"
"Andrei Kirilenko",17823000,2011,"UTA","Jazz"
"Andrei Kirilenko",9779349,2013,"MIN","Timberwolves"
"Andrei Kirilenko",3183000,2014,"BKN","Nets"
"Andrei Kirilenko",3326235,2015,"PHI","Sixers"
"Andres Nocioni",2775000,2006,"CHI","Bulls"
"Andres Nocioni",3950000,2007,"CHI","Bulls"
"Andres Nocioni",8500000,2008,"CHI","Bulls"
"Andres Nocioni",8e+06,2009,"SAC","Kings"
"Andres Nocioni",7500000,2010,"SAC","Kings"
"Andres Nocioni",6850000,2011,"PHI","Sixers"
"Andres Nocioni",6650000,2012,"PHI","Sixers"
"Andrew Bogut",4340520,2006,"MIL","Bucks"
"Andrew Bogut",4665960,2007,"MIL","Bucks"
"Andrew Bogut",4991520,2008,"MIL","Bucks"
"Andrew Bogut",6294310,2009,"MIL","Bucks"
"Andrew Bogut",1e+07,2010,"MIL","Bucks"
"Andrew Bogut",1.1e+07,2011,"MIL","Bucks"
"Andrew Bogut",1.2e+07,2012,"MIL","Bucks"
"Andrew Bogut",1.3e+07,2013,"GSW","Warriors"
"Andrew Bogut",1.4e+07,2014,"GSW","Warriors"
"Andrew Bogut",12972973,2015,"GSW","Warriors"
